postac_a,postac_b,sila_relacji
DRIVERS ED INSTRUCTOR,SHREK,5
EVIL QUEEN,RAPUNZEL,5
ALL,PUSS,5
JOCKS,TEENAGER,5
EVIL KNIGHT #1,WOLF,5
EVIL KNIGHT #1,SNOW WHITE,5
EVIL KNIGHT #1,SHREK,5
BOHORT,DONKEY,5
PUSS,SLEEPING BEAUTY,5
KNIGHT,TEENAGER,5
EVIL KNIGHT #1,FIONA,5
ALL,DONKEY,5
TIFFANY,XAVIER,5
TIFFANY,VAN STUDENT,5
VAN STUDENT,XAVIER,5
GINGERBREAD MAN,SLEEPING BEAUTY,5
EVIL TREES,GINGERBREAD MAN,5
HALL MONITOR,SHREK,5
ARTIE,MABEL,5
ARTIE,STUDENTS,5
SHREK,VAN STUDENT,5
SHREK,TIFFANY,5
ARTIE,SHIP CAPTAIN,5
CYCLOPS,SHIP CAPTAIN,5
DONKEY,GARY,5
DONKEY,PRINCESSES,5
ARTIE,EVIL TREES,5
ARTIE,EVIL QUEEN,5
ARTIE,EVIL KNIGHT #1,5
PRINCESSES,PUSS,5
ARTIE,PRINCIPAL PYNCHLEY,5
DONKEY,HALL MONITOR,5
DONKEY,GRITTED TEETH,5
ARTIE,DRAGON,5
ARTIE,LANCELOT,5
ARTIE,GUINEVERRE,5
EVIL TREES,FIONA,5
EVIL TREES,PRINCE CHARMING,5
DONKEY,EVIL KNIGHT #1,5
DONKEY,DRIVERS ED INSTRUCTOR,5
DONKEY,DRAGON,5
DONKEY,EVIL TREES,5
GUINEVERRE,PUSS,5
DORIS,RUMPLESTILTSKIN,5
DONKEY,TEENAGER,5
DORIS,GINGERBREAD MAN/PINOCCHIO,5
ANNOUNCER,WOLF,5
DORIS,DRAGON,5
DONKEY,XAVIER,5
DONKEY,VAN STUDENT,5
DONKEY,TIFFANY,5
DONKEY,STUDENTS,5
DONKEY,KNIGHT,5
DONKEY,JOCKS,5
SHREK,XAVIER,5
SHREK,TEENAGER,5
SHREK,STUDENTS,5
GUINEVERRE,XAVIER,5
GUINEVERRE,VAN STUDENT,5
HALL MONITOR,PUSS,5
GUINEVERRE,TIFFANY,5
EVIL TREES,SNOW WHITE,5
EVIL TREES,SHREK,5
CYCLOPS,RAPUNZEL,5
DONKEY,FEMALE STUDENT #1,5
PRINCESSES,RAPUNZEL,5
GUINEVERRE,STUDENTS,5
GUINEVERRE,PRINCIPAL PYNCHLEY,5
EVIL TREES,PIG #1,5
CYCLOPS,EVIL TREES,5
CYCLOPS,EVIL KNIGHT #1,5
MABEL,SNOW WHITE,5
ANNOUNCER,PUSS,5
ANNOUNCER,PINOCCHIO,5
MABEL,SHIP CAPTAIN,5
ARTIE,BOHORT,5
DONKEY,SLEEPING BEAUTY,5
DORIS,EVIL TREES,5
DORIS,PIGS,5
DORIS,PIG #2,5
DONKEY,PRINCIPAL PYNCHLEY,5
DORIS,EVIL KNIGHT #1,5
COSTUME STUDENT 2,SHREK,5
EVIL TREES,MABEL,5
COSTUME STUDENT 1,GRITTED TEETH,5
COSTUME STUDENT 1,DONKEY,5
COSTUME STUDENT 1,COSTUME STUDENT 2,5
OGRE,PRINCE CHARMING,5
COSTUME STUDENT 1,PUSS,5
RUMPLESTILTSKIN,WOLF,5
COSTUME STUDENT 2,HALL MONITOR,5
COSTUME STUDENT 1,SHREK,5
COSTUME STUDENT 2,DONKEY,5
COSTUME STUDENT 2,GRITTED TEETH,5
COSTUME STUDENT 2,PUSS,5
EVIL TREES,RUMPLESTILTSKIN,5
EVIL TREES,RAPUNZEL,5
EVIL TREES,PUSS,5
RUMPLESTILTSKIN,SHIP CAPTAIN,5
RAPUNZEL,WOLF,5
GUINEVERRE,KNIGHT,5
NANNY DWARF,RAPUNZEL,5
CINDERELLA,QUEEN,5
CINDERELLA,PUSS,5
DORIS,PRINCE CHARMING,5
ANNOUNCER,PIG #1,5
ANNOUNCER,GINGERBREAD MAN,5
ANNOUNCER,FIONA,5
ANNOUNCER,SNOW WHITE,5
ANNOUNCER,SHREK,5
PIG #1,PRINCESSES,5
PIG #1,PIGS,5
DORIS,PINOCCHIO,5
DRAGON,EVIL QUEEN,5
DORIS,WOLF,5
CINDERELLA,PRINCE CHARMING,5
COSTUME STUDENT 1,HALL MONITOR,5
CHEERLEADERS,PUSS,5
GUINEVERRE,JOCKS,5
NANNY DWARF,PRINCESSES,5
FEMALE STUDENT #1,GUINEVERRE,5
CHEERLEADERS,VAN STUDENT,5
CHEERLEADERS,TIFFANY,5
FEMALE STUDENT #1,GARY,5
NANNY DWARF,SNOW WHITE,5
CINDERELLA,PIGS,5
CINDERELLA,PIG #2,5
CINDERELLA,PIG #1,5
CINDERELLA,NANNY DWARF,5
NANNY DWARF,SLEEPING BEAUTY,5
RUMPLESTILTSKIN,SNOW WHITE,5
CAPTAIN HOOK,RAPUNZEL,5
CHEERLEADERS,DRIVERS ED INSTRUCTOR,5
FEMALE STUDENT #1,XAVIER,5
FEMALE STUDENT #1,VAN STUDENT,5
FEMALE STUDENT #1,TIFFANY,5
CHEERLEADERS,SHREK,5
CHEERLEADERS,GUINEVERRE,5
CHEERLEADERS,GARY,5
CINDERELLA,DRAGON,5
DRAGON,NANNY DWARF,5
MABEL,RAPUNZEL,5
DORIS,NANNY DWARF,5
DORIS,MABEL,5
DRAGON,GINGERBREAD MAN/PINOCCHIO,5
DRAGON,GINGERBREAD MAN,5
DORIS,QUEEN,5
DRAGON,PIG #2,5
PIG #2,QUEEN,5
PIG #2,PRINCESSES,5
PRINCE CHARMING,SHIP CAPTAIN,5
PIG #1,SLEEPING BEAUTY,5
CINDERELLA,DONKEY,5
CHEERLEADERS,XAVIER,5
CINDERELLA,GINGERBREAD MAN/PINOCCHIO,5
CINDERELLA,GINGERBREAD MAN,5
GRITTED TEETH,PUSS,5
